DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
3242.4,79,0.0
5101.6,79,0.0
6783.4,79,0.0
8330.2,79,0.0
7884.0,79,0.0
7657.6,79,0.0
6845.2,78,0.0
6177.6,78,0.0
5746.6,78,0.0
5613.0,78,0.0
4851.0,78,0.0
5574.0,78,0.0
6727.6,79,0.0
6950.8,79,0.0
7495.4,79,0.0
7164.2,80,0.0
6738.6,80,0.0
5436.0,80,0.0
4617.4,81,0.0
3325.6,81,0.0
1976.0,81,0.0
781.8,82,0.0
440.8,82,1.3
2567.0,82,4.0
2976.0,81,5.3
3840.8,81,6.7
5442.2,81,8.0
5394.8,81,9.3
5523.6,80,10.7
5825.4,80,12.0
5018.0,80,13.3
3396.2,80,14.7
1927.2,79,16.0
1236.8,79,17.3
2762.2,79,17.3
4367.4,79,16.0
6965.8,79,14.7
10051.8,80,13.3
12766.2,80,12.0
14423.8,80,10.7
15293.0,80,9.3
14119.6,80,8.0
11942.0,81,6.7
8146.8,81,5.3
5186.6,81,4.0
4461.8,81,2.7
9666.8,81,0.0
12968.4,80,0.0
14997.0,80,0.0
14321.4,80,0.0
11567.2,79,0.0
9232.0,79,0.0
8327.6,78,0.0
7623.8,78,0.0
8458.0,78,0.0
7608.8,77,0.0
5937.4,77,0.0
4183.0,76,0.0
3787.6,76,0.0
4895.4,76,0.0
5977.8,76,0.0
6780.0,76,0.0
6885.8,76,0.0
8316.2,76,0.0
9573.8,77,0.0
10186.0,77,0.0
10704.8,77,0.0
8511.2,77,0.0
6526.6,77,0.0
4015.4,77,0.0
2116.6,77,0.0
3638.6,77,0.0
4742.0,77,0.0
5935.4,77,0.0
6077.0,77,0.0
5880.4,76,0.0
5834.6,76,0.0
5279.8,76,0.0
4837.6,76,0.0
3669.0,76,0.0
3040.4,76,0.0
3137.4,77,0.0
4545.4,78,0.0
6332.8,78,0.0
8025.8,79,0.0
8557.0,79,0.0
8408.0,80,0.0
7684.0,80,0.0
5895.8,81,0.0
3611.4,81,0.0
3034.4,82,0.0
3535.0,82,0.0
5643.4,82,0.0
7533.4,81,0.0
9157.6,81,0.0
9686.6,80,0.0
9737.0,80,0.0
9185.2,79,0.0
8929.4,79,0.0
7974.4,78,0.0
6188.8,78,0.0
4391.8,77,0.0
2900.4,77,0.0
1717.4,76,0.0
3142.6,77,0.0
5324.2,77,0.0
6733.2,78,0.0
7811.4,78,0.0
8465.8,79,0.0
8758.0,79,0.0
7971.0,80,0.0
6497.0,80,0.0
4704.0,81,0.0
4296.2,81,0.0
3596.8,82,0.0
5093.8,82,0.0
6930.6,81,0.0
6412.2,81,0.0
5170.8,81,0.0
4616.4,81,0.0
3605.2,80,0.0
1913.2,80,0.0
1247.8,80,0.0
1023.2,80,0.0
642.2,79,0.0
314.4,79,0.0
1762.8,79,0.0
2949.6,79,0.0
4076.2,79,0.0
5227.0,79,0.0
6630.2,79,0.0
6552.2,79,0.0
6451.0,79,0.0
7583.4,79,0.0
8772.8,79,0.0
8075.2,79,0.0
6559.8,79,0.0
5474.2,79,0.0
3774.2,79,0.0
2156.0,79,0.0
3471.2,79,0.0
5452.6,79,0.0
6130.0,79,0.0
6180.8,79,0.0
5986.8,79,0.0
5011.2,79,0.0
3623.6,79,0.0
2549.2,79,0.0
1681.2,79,0.0
1101.4,79,0.0
1453.2,79,0.0
3062.4,80,0.0
4314.8,81,0.0
5644.0,81,0.0
5520.6,82,0.0
4418.8,82,0.0
4126.2,82,0.0
3490.0,83,0.0
2553.6,83,0.0
1986.0,84,0.0
1432.2,84,0.0
2226.4,84,0.0
5914.6,83,0.0
8126.8,83,0.0
11082.6,83,0.0
13479.6,82,0.0
14206.4,81,0.0
12751.6,81,0.0
11513.8,80,0.0
8993.0,80,0.0
5380.2,79,0.0
2924.8,78,0.0
2540.0,78,0.0
4551.0,77,0.0
6315.4,77,0.0
6605.6,78,0.0
5635.4,78,0.0
4224.8,78,0.0
2642.8,78,0.0
1117.0,78,0.0
866.6,79,0.0
748.0,79,0.0
685.8,79,0.0
2590.8,79,0.0
3533.2,80,0.0
4048.8,80,0.0
4370.6,81,0.0
2376.4,81,0.0
1978.8,81,0.0
1320.0,81,0.0
967.6,81,0.0
824.4,82,0.0
730.6,82,0.0
572.0,82,0.0
926.8,82,0.0
2509.4,82,0.0
4983.0,83,0.0
5804.4,83,0.0
6236.8,83,0.0
5181.4,83,0.0
5036.0,83,0.0
4072.6,84,0.0
4055.6,84,0.0
3904.0,84,0.0
3173.6,84,0.0
2117.2,84,0.0
1824.4,84,0.0
2044.4,84,0.0
2243.8,83,0.0
2692.4,82,0.0
2592.2,81,0.0
2106.6,81,0.0
2276.6,80,0.0
3050.2,79,0.0
3786.2,79,0.0
4204.8,78,0.0
3666.4,77,0.0
3106.2,77,0.0
2381.0,76,0.0
2246.0,76,0.0
2810.4,75,0.0
4085.2,76,0.0
5335.6,76,0.0
6305.2,76,0.0
6699.8,77,0.0
7081.8,77,0.0
7539.6,77,0.0
8785.2,78,0.0
8495.4,78,0.0
8230.4,78,0.0
6735.2,79,0.0
6392.6,79,0.0
5541.4,79,0.0
5935.6,79,0.0
5648.8,79,0.0
6465.8,79,0.0
6359.8,79,0.0
5753.8,79,0.0
5490.0,78,0.0
5818.8,78,0.0
5817.0,78,0.0
4616.4,78,0.0
3661.0,78,0.0
2574.0,78,0.0
3349.4,84,0.0
3770.0,87,0.0
5172.6,91,0.0
5281.8,94,0.0
5274.8,97,0.0
5227.4,100,0.0
5738.8,104,0.0
5102.8,107,0.0
6013.0,110,0.0
4491.4,113,0.0
3205.6,117,0.0
2523.2,120,0.0
1165.6,120,0.0
1624.2,117,0.0
2376.0,113,0.0
2422.6,110,0.0
2197.2,107,0.0
2277.8,103,0.0
2396.0,100,0.0
2254.6,97,0.0
2582.8,93,0.0
2314.8,90,0.0
1993.0,87,0.0
1845.8,83,0.0
1923.4,78,0.0
2929.8,79,0.0
3532.0,80,0.0
3415.6,81,0.0
2949.4,81,0.0
3038.2,82,0.0
2498.0,83,0.0
2383.2,84,0.0
2086.2,85,0.0
1565.8,85,0.0
