,segment_nr,bandwidth,bitrate,down_shifts,buffering_ratio,initial_buffering,stall_count,stall_sum,qoe
0,0,2266.960783837429,247444,0,0.0,0.5527777671813965,0,0,0.23946998496723093
1,1,243775.99733828998,247444,0,0.0,0.0,0,0,0.23946998496723093
2,2,267641.26756424556,247444,0,0.0,0.0,0,0,0.23946998496723093
3,3,333703.1032644061,247444,0,0.0,0.0,0,0,0.23946998496723093
4,4,302767.6778017452,494206,0,0.0,0.0,0,0,0.22048254059738923
5,5,817169.119876958,1488453,0,0.0,0.0,0,0,0.15830279777209957
6,6,842241.8710382082,1488453,0,0.0,0.0,0,0,0.1676493903918042
7,7,845666.4425511536,2258864,0,0.0,0.0,0,0,0.15966560889593934
8,8,838064.7810070802,2971199,0,0.0,0.0,0,0,0.15054581654723226
9,9,1009833.1849983168,6013501,0,0.0,0.0,0,0,0.03122783105091298
10,10,1233510.4135413868,6013501,0,0.0,0.0,0,0,0.027088831342250708
11,11,1053311.4779603553,10063789,0,0.0,0.0,0,0,0.0
12,12,1497152.243760342,15144115,0,0.0,0.0,0,0,0.0
13,13,1075647.2159007944,6013501,2,0.0,0.0,0,0,0.0
14,14,1148078.6003305127,6013501,0,0.0,0.0,0,0,0.0
15,15,1335408.7383184703,6013501,0,0.0,0.0,0,0,0.0
16,16,1604121.2162431092,10063789,0,0.0,0.0,0,0,0.010338620668403742
17,17,1642644.699093869,10063789,0,0.0,0.0,0,0,0.07129090830133111
18,18,1295223.2355342896,10063789,0,0.0,0.0,0,0,0.13265124707722453
19,19,1267853.6131448718,10063789,0,0.0,0.0,0,0,0.19318191579743837
20,20,1439221.2681814192,15144115,0,0.0,0.0,0,0,0.19692590744810445
21,21,1474786.2632836543,15144115,0,0.0,0.0,0,0,0.22140369460724685
22,22,1471105.404053998,15144115,0,0.0,0.0,0,0,0.2583655187296223
23,23,1499492.0864839011,15144115,0,0.0,0.0,0,0,0.3030016745265043
24,24,1487274.118992792,15144115,0,0.0,0.0,0,0,0.3523189844627588
25,25,1589025.2061330548,15144115,0,0.0,0.0,0,0,0.404373677272176
26,26,1379943.4486052385,15144115,0,0.0,0.0,0,0,0.45786691368280374
27,27,1071747.3593464054,6013501,2,0.0,0.0,0,0,0.4707818204517584
28,28,1346712.1165250188,10063789,0,0.0,0.0,0,0,0.5204509270565356
29,29,1292886.742155314,10063789,0,0.0,0.0,0,0,0.5675247649967627
30,30,1163526.7413766475,10063789,0,0.0,0.0,0,0,0.6122148690372318
31,31,1340898.9964932753,15144115,0,0.0,0.0,0,0,0.655467006825784
32,32,1193928.8686660086,15144115,0,0.0,0.0,0,0,0.6990413446178638
33,33,1463965.9338362855,15144115,0,0.0,0.0,0,0,0.7425914313350948
34,34,1391816.774483967,10063789,1,0.0,0.0,0,0,0.7790063463095767
35,35,1435980.727518213,15144115,0,0.0,0.0,0,0,0.820355564451146
36,36,1429547.6531023504,15144115,0,0.0,0.0,0,0,0.8613138187707547
37,37,1318827.143426246,10063789,1,0.0,0.0,0,0,0.8925875898293791
38,38,1337740.772586418,10063789,0,0.0,0.0,0,0,0.922585840936043
39,39,1300547.9349540777,10063789,0,0.0,0.0,0,0,0.9513915794194137
40,40,1415368.50536694,6013501,1,0.0,0.0,0,0,0.9449695181410533
41,41,1250983.279748873,6013501,0,0.0,0.0,0,0,0.9392992735118277
42,42,1133403.119963242,10063789,0,0.0,0.0,0,0,0.9660738271158731
43,43,1009638.2365842027,10063789,0,0.0,0.0,0,0,0.9918797772970631
44,44,1338421.2861816082,15144115,0,0.0,0.0,0,0,1.0224408819239132
45,45,1115268.3849526998,15144115,0,0.0,0.0,0,0,1.0528352311859905
46,46,775268.1567023483,15144115,0,0.0,0.0,0,0,1.0829890729362965
47,47,572605.5603869052,10063789,1,0.0,0.0,0,0,1.1046883478093716
48,48,696819.46461662,10063789,0,0.0,0.0,0,0,1.1256892321631256
49,49,921626.3058535134,15144115,0,0.0,0.0,0,0,1.1536015413934335
50,50,506225.96722339344,10063789,1,0.0,0.0,0,0,1.1730382165876254
51,51,682755.0531424654,6013501,1,0.0,0.0,0,0,1.1624011836842483
52,52,427668.2418909611,2971199,2,0.0,0.0,0,0,1.11776385985126
53,53,348802.74450002686,6013501,0,0.0,0.0,0,0,1.109316620068765
54,54,450980.954478165,2971199,2,0.0,0.0,0,0,1.0686486221700289
55,55,449506.66263096797,2971199,0,0.0,0.0,0,0,1.0302937854956498
56,56,1055879.4673969739,6013501,0,0.0,0.0,0,0,1.0248280822461233
57,57,939758.6860151958,6013501,0,0.0,0.0,0,0,1.019782829693169
58,58,290711.90712042246,6013501,0,0.0,0.0,0,0,1.0151287570972207
59,59,164835.38443799072,1488453,4,0.0,0.0,0,0,0.9641497815136297
60,60,596871.8769559431,1488453,0,0.0,0.0,0,0,0.9159460086214446
61,61,328123.09359779936,1488453,0,0.0,0.0,0,0,0.8703038327577055
62,62,335446.1981039952,2258864,0,0.0,0.0,0,0,0.835670129541304
63,63,138257.6897296394,2258864,0,0.0,0.0,0,0,0.802757348638115
64,64,490084.9106541026,2258864,0,0.0,0.0,0,0,0.7714509723237191
65,65,515927.44347801385,2258864,0,0.0,0.0,0,0,0.741646522868689
66,66,620421.4777607546,2258864,0,0.0,0.0,0,0,0.7132484431281461
67,67,499207.75103058084,2971199,0,0.0,0.0,0,0,0.6927271086342324
68,68,677556.0022249582,2971199,0,0.0,0.0,0,0,0.6731473191464803
69,69,881580.4457534675,6013501,0,0.0,0.0,0,0,0.676148625101124
