,segment_nr,bandwidth,bitrate,down_shifts,buffering_ratio,initial_buffering,stall_count,stall_sum,qoe
0,0,3393.925444314012,247444,0,0.0,0.38359546661376953,0,0.0,0.23946998496723093
1,1,394760.43020184507,247444,0,0.0,0.0,0,0.0,0.23946998496723093
2,2,499700.17360305646,247444,0,0.0,0.0,0,0.0,0.23946998496723093
3,3,368164.11274102674,247444,0,0.0,0.0,0,0.0,0.23946998496723093
4,4,572337.6446174005,494206,0,0.0,0.0,0,0.0,0.22048254059738923
5,5,887437.4550307731,1488453,0,0.0,0.0,0,0.0,0.15830279777209957
6,6,983286.3527722587,2258864,0,0.0,0.0,0,0.0,0.1315240391428766
7,7,792435.5815431328,2258864,0,0.0,0.0,0,0.0,0.14718582164501315
8,8,834626.4904068254,2971199,0,0.0,0.0,0,0.0,0.1530845002770378
9,9,1071010.6525423324,6013501,0,0.0,0.0,0,0.0,0.048975274625805754
10,10,1283303.1667239824,10063789,0,0.0,0.0,0,0.0,0.0
11,11,1042819.3664824078,10063789,0,0.0,0.0,0,0.0,0.0
12,12,1729301.831222883,15144115,0,0.0,0.0,0,0.0,0.0
13,13,1717971.2324853851,10063789,1,0.0,0.0,0,0.0,0.0
14,14,1337809.9399806708,6013501,1,0.0,0.0,0,0.0,0.0
15,15,1434622.0796079233,6013501,0,0.0,0.0,0,0.0,0.0
16,16,1370900.4216048173,6013501,0,0.0,0.0,0,0.0,0.03496143122229389
17,17,1379742.6558165282,6013501,0,0.0,0.0,0,0.0,0.09289434742259384
18,18,1236393.8058579303,10063789,0,0.0,0.0,0,0.0,0.15388104343473064
19,19,1283216.8458821748,10063789,0,0.0,0.0,0,0.0,0.21402452401315797
20,20,1459946.8506684506,15144115,0,0.0,0.0,0,0.0,0.21720809099250538
21,21,1425703.2922524994,15144115,0,0.0,0.0,0,0.0,0.24120882063338156
22,22,1329680.0146433092,15144115,0,0.0,0.0,0,0.0,0.27774047329032103
23,23,1463510.5103151493,20195880,0,0.0,0.0,0,0.0,0.2481681237987321
24,24,1285464.4444702964,6013501,3,0.0,0.0,0,0.0,0.27292425713987933
25,25,1433402.374148816,10063789,0,0.0,0.0,0,0.0,0.3319755650027474
26,26,1254895.1926109556,6013501,1,0.0,0.0,0,0.0,0.35273073204440153
27,27,1181583.6594915737,6013501,0,0.0,0.0,0,0.0,0.37266444120045805
28,28,1053594.7991976356,6013501,0,0.0,0.0,0,0.0,0.3918263273759286
29,29,1132800.2677992978,10063789,0,0.0,0.0,0,0.0,0.4403489694423388
30,30,1081634.185128262,10063789,0,0.0,0.0,0,0.0,0.486533971930156
31,31,1254419.6743284178,15144115,0,0.0,0.0,0,0.0,0.5229456512163082
32,32,1197279.976397301,15144115,0,0.0,0.0,0,0.0,0.5610865078299541
