,segment_nr,bandwidth,bitrate,down_shifts,buffering_ratio,initial_buffering,stall_count,stall_sum,qoe
0,0,3439.989378750169,247444,0,0.0,0.3930034637451172,0,0,0.23946998496723093
1,1,426128.14048260305,247444,0,0.0,0.0,0,0,0.23946998496723093
2,2,541823.1241459398,247444,0,0.0,0.0,0,0,0.23946998496723093
3,3,512358.18866146717,247444,0,0.0,0.0,0,0,0.23946998496723093
4,4,578355.0127043158,494206,0,0.0,0.0,0,0,0.22048254059738923
5,5,820173.8839937124,1488453,0,0.0,0.0,0,0,0.15830279777209957
6,6,925913.703137475,2258864,0,0.0,0.0,0,0,0.1315240391428766
7,7,1128433.9728625074,2971199,0,0.0,0.0,0,0,0.12046859820290051
8,8,958488.4687206545,2971199,0,0.0,0.0,0,0,0.14094950956739277
9,9,1129274.1610338127,6013501,0,0.0,0.0,0,0,0.05651221348793145
10,10,1338341.5345960944,10063789,0,0.0,0.0,0,0,0.0
11,11,1197524.4325602704,10063789,0,0.0,0.0,0,0,0.0
12,12,1832269.789940609,15144115,0,0.0,0.0,0,0,0.0
13,13,1729592.4041948814,10063789,1,0.0,0.0,0,0,0.0
14,14,1454605.3018006063,6013501,1,0.0,0.0,0,0,0.0
15,15,1443728.9714424359,6013501,0,0.0,0.0,0,0,0.0
16,16,1541514.3874926425,10063789,0,0.0,0.0,0,0,0.06347995087109282
17,17,1660611.6910543554,10063789,0,0.0,0.0,0,0,0.13464208831435043
18,18,1396351.698137292,10063789,0,0.0,0.0,0,0,0.20329131662286537
19,19,1323587.7899150234,10063789,0,0.0,0.0,0,0,0.2690744488295784
20,20,1401728.3641817183,15144115,0,0.0,0.0,0,0,0.28780296436674146
21,21,1407692.5273423211,15144115,0,0.0,0.0,0,0,0.3219226077785773
22,22,1511363.391687429,15144115,0,0.0,0.0,0,0,0.36532281728429106
23,23,1525279.615834985,15144115,0,0.0,0.0,0,0,0.41432389305313655
24,24,1523824.8717605276,15144115,0,0.0,0.0,0,0,0.46659344144078396
25,25,1340847.0632107987,15144115,0,0.0,0.0,0,0,0.5206023042402359
26,26,1447632.2927038784,15144115,0,0.0,0.0,0,0,0.5753255539777418
27,27,1379409.1362711638,6013501,2,0.0,0.0,0,0,0.5828839307882667
28,28,1500737.6369658532,10063789,0,0.0,0.0,0,0,0.6303838429475142
29,29,1115472.078559751,10063789,0,0.0,0.0,0,0,0.675376171712482
30,30,1051359.0644255618,10063789,0,0.0,0.0,0,0,0.7180683727505128
31,31,1222185.3005545533,15144115,0,0.0,0.0,0,0,0.7618471206527198
32,32,964112.6351779401,15144115,0,0.0,0.0,0,0,0.8056628192368853
33,33,1359951.7152490646,10063789,1,0.0,0.0,0,0,0.8420346092325222
34,34,1195791.3097387415,10063789,0,0.0,0.0,0,0,0.8767494676578858
35,35,1047827.1609745114,10063789,0,0.0,0.0,0,0,0.9099270165592019
36,36,1044208.0044618439,10063789,0,0.0,0.0,0,0,0.941675254702621
37,37,1070709.0173855566,15144115,0,0.0,0.0,0,0,0.9779781664737051
38,38,1104668.4291709121,10063789,1,0.0,0.0,0,0,1.0068606826220794
39,39,1260997.0526155254,6013501,1,0.0,0.0,0,0,0.9996365747396108
40,40,1248758.3561318072,6013501,0,0.0,0.0,0,0,0.9932267488147908
41,41,1007078.4572352486,6013501,0,0.0,0.0,0,0,0.9875512987671404
42,42,977755.6164785805,10063789,0,0.0,0.0,0,0,1.013875984883138
43,43,881536.8614583528,10063789,0,0.0,0.0,0,0,1.0392479103575791
44,44,1009156.7235495563,15144115,0,0.0,0.0,0,0,1.0673967870095282
45,45,1239863.7932785833,15144115,0,0.0,0.0,0,0,1.095607143012572
46,46,1014079.5415232066,15144115,0,0.0,0.0,0,0,1.1237751363990685
47,47,946967.5266686393,10063789,1,0.0,0.0,0,0,1.1452217844664758
48,48,1154459.6368252314,15144115,0,0.0,0.0,0,0,1.172309088956542
49,49,1112401.761096794,15144115,0,0.0,0.0,0,0,1.1992350820401814
50,50,1184102.5111932552,15144115,0,0.0,0.0,0,0,1.2259479754494227
51,51,1095255.3625847916,6013501,2,0.0,0.0,0,0,1.2139099102174398
52,52,919212.3719151973,6013501,0,0.0,0.0,0,0,1.2026705094347483
53,53,797339.5721231442,6013501,0,0.0,0.0,0,0,1.1921711063297644
54,54,1086718.1066235858,10063789,0,0.0,0.0,0,0,1.209981119654481
55,55,1151005.0317795048,10063789,0,0.0,0.0,0,0,1.2272902738982034
56,56,1169294.3517731396,10063789,0,0.0,0.0,0,0,1.2441213325731937
