,segment_nr,bandwidth,bitrate,down_shifts,buffering_ratio,initial_buffering,stall_count,stall_sum,qoe
0,0,3445.094515736806,247444,0,0.0,0.4008054733276367,0,0,0.23946998496723093
1,1,407934.6294027127,247444,0,0.0,0.0,0,0,0.23946998496723093
2,2,542631.7000906096,247444,0,0.0,0.0,0,0,0.23946998496723093
3,3,397888.4039783171,247444,0,0.0,0.0,0,0,0.23946998496723093
4,4,540390.5835282671,494206,0,0.0,0.0,0,0,0.22048254059738923
5,5,928590.9722863417,1488453,0,0.0,0.0,0,0,0.15830279777209957
6,6,1002330.3731356232,2258864,0,0.0,0.0,0,0,0.1315240391428766
7,7,1021322.9575911885,2971199,0,0.0,0.0,0,0,0.12046859820290051
8,8,953206.5920242858,2971199,0,0.0,0.0,0,0,0.14094950956739277
9,9,951837.4535474038,6013501,0,0.0,0.0,0,0,0.05651221348793145
10,10,1265624.4511853233,10063789,0,0.0,0.0,0,0,0.0
11,11,1131997.4669617217,10063789,0,0.0,0.0,0,0,0.0
12,12,1717348.090425492,15144115,0,0.0,0.0,0,0,0.0
13,13,1700068.818560667,10063789,1,0.0,0.0,0,0,0.0
14,14,1439522.1303041107,6013501,1,0.0,0.0,0,0,0.0
15,15,1421821.5122180139,6013501,0,0.0,0.0,0,0,0.0
16,16,1462757.805936788,6013501,0,0.0,0.0,0,0,0.05345225026515221
17,17,1569773.356604396,10063789,0,0.0,0.0,0,0,0.11988149956485095
18,18,1080488.0190848033,6013501,1,0.0,0.0,0,0,0.1715257613165735
19,19,1216438.0043385772,10063789,0,0.0,0.0,0,0,0.23142353688348094
20,20,1149419.1204370938,10063789,0,0.0,0.0,0,0,0.28976996402941735
21,21,1341323.5759806563,15144115,0,0.0,0.0,0,0,0.296407088181871
22,22,1505774.0197780146,15144115,0,0.0,0.0,0,0,0.32063056638405407
23,23,1475789.503162909,15144115,0,0.0,0.0,0,0,0.3557004082264046
24,24,1449612.1873945903,15144115,0,0.0,0.0,0,0,0.3975744991245116
25,25,1445065.704917314,15144115,0,0.0,0.0,0,0,0.4436833160419258
26,26,1512458.5767891791,15144115,0,0.0,0.0,0,0,0.4923287749975751
27,27,1160806.6364016687,6013501,2,0.0,0.0,0,0,0.5056447799687391
28,28,1313431.116382616,10063789,0,0.0,0.0,0,0,0.5544864119350921
29,29,1242572.9513518275,10063789,0,0.0,0.0,0,0,0.600800389631768
30,30,1197837.0320398023,10063789,0,0.0,0.0,0,0,0.6447899428308865
31,31,1421079.5159138115,15144115,0,0.0,0.0,0,0,0.6846844859082482
32,32,1543801.7772038272,15144115,0,0.0,0.0,0,0,0.7253891760278661
33,33,1428318.3809678894,15144115,0,0.0,0.0,0,0,0.766463240880066
34,34,1620322.8445615019,15144115,0,0.0,0.0,0,0,0.8075816642963796
35,35,1338733.1626193093,10063789,1,0.0,0.0,0,0,0.8419041466179094
36,36,1534816.4417375266,15144115,0,0.0,0.0,0,0,0.8810416628035469
37,37,1652490.062599443,10063789,1,0.0,0.0,0,0,0.912215235949478
38,38,1624863.4103351256,10063789,0,0.0,0.0,0,0,0.9421157251140797
39,39,1595947.812601783,10063789,0,0.0,0.0,0,0,0.9708259521964202
40,40,1525399.5972826162,10063789,0,0.0,0.0,0,0,0.9984214586609821
41,41,1599178.1728364658,10063789,0,0.0,0.0,0,0,1.024971303262027
42,42,1174959.2424697326,10063789,0,0.0,0.0,0,0,1.0505387559265968
43,43,1154475.9023202797,10063789,0,0.0,0.0,0,0,1.0751819033512653
44,44,1330250.6704518578,15144115,0,0.0,0.0,0,0,1.1045271486862398
45,45,1523764.000232148,15144115,0,0.0,0.0,0,0,1.133762691246737
46,46,1417763.8814041754,15144115,0,0.0,0.0,0,0,1.16280940290004
47,47,1382705.068709322,15144115,0,0.0,0.0,0,0,1.1916048513926967
48,48,1454198.6210072765,20195880,0,0.0,0.0,0,0,1.1960212317208514
49,49,1452760.7876334416,10063789,2,0.0,0.0,0,0,1.2147664924442723
50,50,1467777.0746418468,10063789,0,0.0,0.0,0,0,1.2329452429995935
51,51,1459804.1958542,10063789,0,0.0,0.0,0,0,1.2505853156239293
52,52,1283059.6094338729,10063789,0,0.0,0.0,0,0,1.2677126702708197
53,53,1395183.4151795516,10063789,0,0.0,0.0,0,0,1.2843515532099001
54,54,1321319.3910190337,10063789,0,0.0,0.0,0,0,1.3005246395296772
55,55,1462462.1065815736,15144115,0,0.0,0.0,0,0,1.3249562143984004
56,56,1580896.8399429224,15144115,0,0.0,0.0,0,0,1.3491086469842064
57,57,1648805.6772637316,10063789,1,0.0,0.0,0,0,1.3634516232802831
58,58,1366749.7073895698,6013501,1,0.0,0.0,0,0,1.3489394865514928
59,59,1578989.410316363,10063789,0,0.0,0.0,0,0,1.3629553591457682
60,60,1605475.7444530877,10063789,0,0.0,0.0,0,0,1.3766213375244023
61,61,1479221.5169606009,6013501,1,0.0,0.0,0,0,1.3629559366467106
62,62,1450513.4041692878,10063789,0,0.0,0.0,0,0,1.3763148068227795
63,63,1392556.3707897349,10063789,0,0.0,0.0,0,0,1.389354015232094
64,64,1446524.078597624,10063789,0,0.0,0.0,0,0,1.4020860645168254
65,65,1402430.597992967,15144115,0,0.0,0.0,0,0,1.421476767637105
66,66,1576112.6969455967,15144115,0,0.0,0.0,0,0,1.4407223954638002
67,67,1438309.9352779144,15144115,0,0.0,0.0,0,0,1.4598086221803634
68,68,1331819.7827822603,10063789,1,0.0,0.0,0,0,1.4708244830866337
69,69,1345374.2104642976,15144115,0,0.0,0.0,0,0,1.4892928368947744
70,70,1212385.5369158129,10063789,1,0.0,0.0,0,0,1.499642347886071
71,71,1190565.6480534542,10063789,0,0.0,0.0,0,0,1.5097796222004853
72,72,1356275.8836487397,10063789,0,0.0,0.0,0,0,1.5197118394849591
73,73,1278049.2514808578,15144115,0,0.0,0.0,0,0,1.5367949955599332
74,74,1345377.1579449486,15144115,0,0.0,0.0,0,0,1.5537368329677466
75,75,1009615.4069158942,2971199,4,0.0,0.0,0,0,1.5109244667499244
76,76,1263091.518628272,6013501,0,0.0,0.0,0,0,1.497225059993665
77,77,1138416.8908698694,6013501,0,0.0,0.0,0,0,1.4840881962323988
78,78,1098396.5872527943,10063789,0,0.0,0.0,0,0,1.4935670863394783
79,79,973580.3758785572,10063789,0,0.0,0.0,0,0,1.5028691512073227
80,80,1351361.3659683429,15144115,0,0.0,0.0,0,0,1.5183332181048432
81,81,1485323.4774565299,10063789,1,0.0,0.0,0,0,1.5271467269867751
82,82,1300223.5877057933,10063789,0,0.0,0.0,0,0,1.535803156136713
83,83,1284572.0558440683,10063789,0,0.0,0.0,0,0,1.5443071303455786
84,84,1172660.312928458,10063789,0,0.0,0.0,0,0,1.5526630856804509
85,85,1388753.838247313,10063789,0,0.0,0.0,0,0,1.560875279282685
86,86,1173160.5654037404,10063789,0,0.0,0.0,0,0,1.5689477985509082
87,87,1343346.9963789906,15144115,0,0.0,0.0,0,0,1.5825752123599548
88,88,1524640.6566370607,15144115,0,0.0,0.0,0,0,1.5961322658188888
89,89,1522210.8222385445,10063789,1,0.0,0.0,0,0,1.6035511492304753
90,90,1462121.3224926055,10063789,0,0.0,0.0,0,0,1.6108516388006742
91,91,1369034.7943718382,10063789,0,0.0,0.0,0,0,1.618036867131117
92,92,1461783.6127144694,10063789,0,0.0,0.0,0,0,1.6251098516582332
93,93,1552431.8858301498,10063789,0,0.0,0.0,0,0,1.6320735000504232
94,94,1426451.1927772707,6013501,1,0.0,0.0,0,0,1.619590213425625
95,95,1467280.1246790949,10063789,0,0.0,0.0,0,0,1.6265133783645003
96,96,1173708.6735414593,10063789,0,0.0,0.0,0,0,1.6333319465066658
97,97,1717807.398888073,15144115,0,0.0,0.0,0,0,1.6450210379944306
98,98,1470183.5351504604,10063789,1,0.0,0.0,0,0,1.6515319176821532
99,99,1334731.3207192877,10063789,0,0.0,0.0,0,0,1.6579482303065154
100,100,1310160.9111535363,10063789,0,0.0,0.0,0,0,1.664272255270835
101,101,1507709.5878577232,15144115,0,0.0,0.0,0,0,1.6753289186340041
102,102,1586751.1242869317,15144115,0,0.0,0.0,0,0,1.6863503409904383
103,103,1527420.2447058149,15144115,0,0.0,0.0,0,0,1.6973316254172737
104,104,1529771.998553955,15144115,0,0.0,0.0,0,0,1.7082683793213675
105,105,1623350.1393436326,15144115,0,0.0,0.0,0,0,1.719156667246833
106,106,1591057.8291753232,10063789,1,0.0,0.0,0,0,1.7244858937882035
107,107,1665914.7979273188,10063789,0,0.0,0.0,0,0,1.7297472390965023
108,108,1569547.8894761417,15144115,0,0.0,0.0,0,0,1.7402461011841988
109,109,1637951.5121860998,15144115,0,0.0,0.0,0,0,1.7506964753406609
110,110,1641604.164513675,15144115,0,0.0,0.0,0,0,1.7610954718726146
111,111,1465846.5213069175,15144115,0,0.0,0.0,0,0,1.7714405067763128
112,112,1410628.087282605,15144115,0,0.0,0.0,0,0,1.7817292748042912
113,113,1539297.7217007952,10063789,1,0.0,0.0,0,0,1.786138363157427
114,114,1239093.2895159447,6013501,1,0.0,0.0,0,0,1.7731907644266298
115,115,1329487.1649085446,6013501,0,0.0,0.0,0,0,1.7605967130050022
116,116,1139928.614371302,10063789,0,0.0,0.0,0,0,1.7651208004210022
117,117,1415127.4162080793,10063789,0,0.0,0.0,0,0,1.7695941452117092
118,118,1297243.571894178,10063789,0,0.0,0.0,0,0,1.7740176947629307
119,119,1369150.0057961817,10063789,0,0.0,0.0,0,0,1.7783923718971875
120,120,1436126.1245738333,15144115,0,0.0,0.0,0,0,1.787728243160679
121,121,1259096.7835743425,15144115,0,0.0,0.0,0,0,1.7970234981792195
122,122,1311140.0039273764,15144115,0,0.0,0.0,0,0,1.8062761498405797
123,123,831039.4408953838,1488453,6,0.0,0.0,0,0,1.7636234258889576
124,124,839057.0099544756,2258864,0,0.0,0.0,0,0,1.7283383846391693
125,125,742182.7744662948,2971199,0,0.0,0.0,0,0,1.6991991345569106
126,126,882364.9846234436,2971199,0,0.0,0.0,0,0,1.6708947812602903
127,127,1089666.425545372,6013501,0,0.0,0.0,0,0,1.6608741735117305
128,128,1164761.5588247553,6013501,0,0.0,0.0,0,0,1.6510995613444455
129,129,1256094.3479193514,10063789,0,0.0,0.0,0,0,1.6559113329489974
130,130,1161141.7427755133,6013501,1,0.0,0.0,0,0,1.6464163769184774
131,131,1163664.4587161336,6013501,0,0.0,0.0,0,0,1.6371493766390932
132,132,986261.05122892,10063789,0,0.0,0.0,0,0,1.6419881671687044
133,133,1187197.6649357036,10063789,0,0.0,0.0,0,0,1.6467748160536877
134,134,1084586.6629613512,10063789,0,0.0,0.0,0,0,1.6515102585858314
135,135,1069968.1840141134,10063789,0,0.0,0.0,0,0,1.6561954066608648
136,136,1330887.6809119445,6013501,1,0.0,0.0,0,0,1.6472901958749697
137,137,1154985.0243332041,6013501,0,0.0,0.0,0,0,1.6385895486756528
138,138,1218401.610969263,6013501,0,0.0,0.0,0,0,1.630087426163073
139,139,1120658.1410376716,10063789,0,0.0,0.0,0,0,1.6348197000565547
140,140,1251517.4405009786,10063789,0,0.0,0.0,0,0,1.6395026406659094
141,141,1253190.6806171017,10063789,0,0.0,0.0,0,0,1.644137102416687
142,142,1245894.1740666346,6013501,1,0.0,0.0,0,0,1.6359107642973416
143,143,1184649.9375347388,6013501,0,0.0,0.0,0,0,1.6278656928311335
144,144,1090484.9078218858,10063789,0,0.0,0.0,0,0,1.6325052611596709
145,145,1177771.4837482418,10063789,0,0.0,0.0,0,0,1.637097662618289
146,146,1077168.7353105517,10063789,0,0.0,0.0,0,0,1.6416436927781677
147,147,1270260.4174208702,10063789,0,0.0,0.0,0,0,1.646144128526224
148,148,1225281.5658823291,15144115,0,0.0,0.0,0,0,1.653452820914793
149,149,1221378.040675394,15144115,0,0.0,0.0,0,0,1.6607558973901315
150,150,1030336.8600825497,10063789,1,0.0,0.0,0,0,1.665037972331421
151,151,1309167.7691265782,15144115,0,0.0,0.0,0,0,1.6722481353092722
152,152,1104717.312880527,6013501,2,0.0,0.0,0,0,1.6642902323607531
153,153,811332.3259772107,2971199,2,0.0,0.0,0,0,1.6419275044665507
154,154,1049149.8223110598,6013501,0,0.0,0.0,0,0,1.6344293261220826
155,155,916750.7845895515,6013501,0,0.0,0.0,0,0,1.6270837362687125
156,156,1129430.8503788135,6013501,0,0.0,0.0,0,0,1.6198867575473812
157,157,1318437.4040119476,10063789,0,0.0,0.0,0,0,1.6242226393599504
158,158,1139082.866924939,6013501,1,0.0,0.0,0,0,1.6171882522487142
