,segment_nr,bandwidth,bitrate,down_shifts,buffering_ratio,initial_buffering,stall_count,stall_sum,qoe
0,0,2071.0080001930996,247444,0,0.0,0.5990331172943115,0,0,0.23946998496723093
1,1,348975.2627054105,247444,0,0.0,0.0,0,0,0.23946998496723093
2,2,453288.98731733946,247444,0,0.0,0.0,0,0,0.23946998496723093
3,3,321539.94981139165,247444,0,0.0,0.0,0,0,0.23946998496723093
4,4,476301.6870254684,494206,0,0.0,0.0,0,0,0.22048254059738923
5,5,774170.4649623595,1488453,0,0.0,0.0,0,0,0.15830279777209957
6,6,891305.470499834,2258864,0,0.0,0.0,0,0,0.1315240391428766
7,7,797172.1394011702,2258864,0,0.0,0.0,0,0,0.14718582164501315
8,8,800385.2453948575,2971199,0,0.0,0.0,0,0,0.1530845002770378
9,9,957599.835900649,6013501,0,0.0,0.0,0,0,0.048975274625805754
10,10,1082691.4895039673,6013501,0,0.0,0.0,0,0,0.048262934776635014
11,11,830417.4672299171,10063789,0,0.0,0.0,0,0,0.0
12,12,1559407.8443372468,15144115,0,0.0,0.0,0,0,0.0
13,13,1365305.300175349,6013501,2,0.0,0.0,0,0,0.0
14,14,1267879.4962499682,6013501,0,0.0,0.0,0,0,0.0
15,15,1446640.2736220188,10063789,0,0.0,0.0,0,0,0.0
16,16,1404544.730724031,10063789,0,0.0,0.0,0,0,0.03496143122229389
17,17,1424594.2499615909,10063789,0,0.0,0.0,0,0,0.10160400637305944
18,18,1176094.3568904505,10063789,0,0.0,0.0,0,0,0.16702263821468244
19,19,1243955.536559835,10063789,0,0.0,0.0,0,0,0.23048276925463784
20,20,1273235.7386238489,10063789,0,0.0,0.0,0,0,0.2916089022535646
21,21,1401608.907871499,15144115,0,0.0,0.0,0,0,0.30565354518807264
22,22,1388434.820636719,15144115,0,0.0,0.0,0,0,0.3349149891735981
23,23,1490429.1153054028,15144115,0,0.0,0.0,0,0,0.37357423085623354
24,24,1466145.5972782834,15144115,0,0.0,0.0,0,0,0.418083348698866
25,25,1631694.1434864346,15144115,0,0.0,0.0,0,0,0.46616502241354674
26,26,1681951.0971191267,15144115,0,0.0,0.0,0,0,0.5163062245319459
27,27,1254891.565361073,10063789,1,0.0,0.0,0,0,0.5668435973655592
28,28,1246096.553793135,10063789,0,0.0,0.0,0,0,0.6146464873155828
29,29,1271793.1881572308,10063789,0,0.0,0.0,0,0,0.6599455269233254
30,30,1374912.5635818592,15144115,0,0.0,0.0,0,0,0.7035377244975065
31,31,1220286.2487644611,15144115,0,0.0,0.0,0,0,0.7475478435531948
32,32,1497110.88401802,15144115,0,0.0,0.0,0,0,0.7915856282442606
33,33,1453346.6324908657,15144115,0,0.0,0.0,0,0,0.8353679349949819
34,34,1162652.5892368348,10063789,1,0.0,0.0,0,0,0.8699773624839344
35,35,1450181.9921662998,15144115,0,0.0,0.0,0,0,0.9113625206961709
36,36,1597817.9394878733,15144115,0,0.0,0.0,0,0,0.9522222169905801
37,37,1550798.3686912267,15144115,0,0.0,0.0,0,0,0.9924532040896847
38,38,1521292.7353499355,10063789,1,0.0,0.0,0,0,1.0203305288705748
39,39,1468029.2526735582,10063789,0,0.0,0.0,0,0,1.0471098219879311
40,40,1453358.3465518372,10063789,0,0.0,0.0,0,0,1.072860519488376
41,41,1515532.47937218,10063789,0,0.0,0.0,0,0,1.0976460987264407
42,42,1036130.6690934338,10063789,0,0.0,0.0,0,0,1.121524717577916
43,43,837280.9319102755,10063789,0,0.0,0.0,0,0,1.1445497720164848
44,44,1265503.7210560879,15144115,0,0.0,0.0,0,0,1.1758595843639947
45,45,1529557.7445554442,15144115,0,0.0,0.0,0,0,1.2067798616787455
46,46,1373294.9140957238,15144115,0,0.0,0.0,0,0,1.237270298811486
47,47,1214186.6283344498,15144115,0,0.0,0.0,0,0,1.2673009200320304
48,48,1360255.1064010188,15144115,0,0.0,0.0,0,0,1.2968500242154086
49,49,1354639.4920302369,20195880,0,0.0,0.0,0,0,1.305912789072644
50,50,1078346.4754944788,6013501,3,0.0,0.0,0,0,1.288585106917375
51,51,1342432.1282914835,6013501,0,0.0,0.0,0,0,1.2723633773857088
52,52,1329065.0054597717,6013501,0,0.0,0.0,0,0,1.2571650449930527
53,53,1147334.105051119,6013501,0,0.0,0.0,0,0,1.2429151349269811
54,54,1110470.1777564979,10063789,0,0.0,0.0,0,0,1.2591887420855012
